start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1773360000,1773446400,2026-03-13T00:00:00+00:00,2026-03-14T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773446400,1773532800,2026-03-14T00:00:00+00:00,2026-03-15T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773532800,1773619200,2026-03-15T00:00:00+00:00,2026-03-16T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773619200,1773705600,2026-03-16T00:00:00+00:00,2026-03-17T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773705600,1773792000,2026-03-17T00:00:00+00:00,2026-03-18T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773792000,1773878400,2026-03-18T00:00:00+00:00,2026-03-19T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773878400,1773964800,2026-03-19T00:00:00+00:00,2026-03-20T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773964800,1774051200,2026-03-20T00:00:00+00:00,2026-03-21T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774051200,1774137600,2026-03-21T00:00:00+00:00,2026-03-22T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774137600,1774224000,2026-03-22T00:00:00+00:00,2026-03-23T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774224000,1774310400,2026-03-23T00:00:00+00:00,2026-03-24T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774310400,1774396800,2026-03-24T00:00:00+00:00,2026-03-25T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774396800,1774483200,2026-03-25T00:00:00+00:00,2026-03-26T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774483200,1774569600,2026-03-26T00:00:00+00:00,2026-03-27T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774569600,1774656000,2026-03-27T00:00:00+00:00,2026-03-28T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774656000,1774742400,2026-03-28T00:00:00+00:00,2026-03-29T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774742400,1774828800,2026-03-29T00:00:00+00:00,2026-03-30T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774828800,1774915200,2026-03-30T00:00:00+00:00,2026-03-31T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1774915200,1775001600,2026-03-31T00:00:00+00:00,2026-04-01T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775001600,1775088000,2026-04-01T00:00:00+00:00,2026-04-02T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775088000,1775174400,2026-04-02T00:00:00+00:00,2026-04-03T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775174400,1775260800,2026-04-03T00:00:00+00:00,2026-04-04T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775260800,1775347200,2026-04-04T00:00:00+00:00,2026-04-05T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775347200,1775433600,2026-04-05T00:00:00+00:00,2026-04-06T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775433600,1775520000,2026-04-06T00:00:00+00:00,2026-04-07T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775520000,1775606400,2026-04-07T00:00:00+00:00,2026-04-08T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775606400,1775692800,2026-04-08T00:00:00+00:00,2026-04-09T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1775692800,1775779200,2026-04-09T00:00:00+00:00,2026-04-10T00:00:00+00:00,proj_PIX0QSLBaKRDaHp6eP9bfk7a,1.0,user-xlYjq18dKd6ltI0pTJGeHzcs,key_WEtWjdsBPp3RPs8U,gpt-4o-2024-08-06,False,default,3608.0,564.0,0.0,3608.0,3608.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775779200,1775865600,2026-04-10T00:00:00+00:00,2026-04-11T00:00:00+00:00,proj_PIX0QSLBaKRDaHp6eP9bfk7a,1.0,user-xlYjq18dKd6ltI0pTJGeHzcs,key_WEtWjdsBPp3RPs8U,gpt-4o-2024-08-06,False,default,6802.0,545.0,0.0,6802.0,6802.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775865600,1775952000,2026-04-11T00:00:00+00:00,2026-04-12T00:00:00+00:00,proj_PIX0QSLBaKRDaHp6eP9bfk7a,1.0,user-xlYjq18dKd6ltI0pTJGeHzcs,key_WEtWjdsBPp3RPs8U,gpt-4o-2024-08-06,False,default,1479.0,461.0,0.0,1479.0,1479.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775952000,1776038400,2026-04-12T00:00:00+00:00,2026-04-13T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
